name,reference
Office for Place exemplar,exemplar
Context,context
Identity,identity
Built form,built-form
Movement,movement
Nature,nature
Public spaces,public-spaces
Uses,uses
Homes and buildings,homes-and-buildings
Resources,resources
Lifespan,lifespan
