entity,reference,prefix,name,description,geometry,point,organisation,design-code-area-type,design-code,design-code-rules,documentation-url,document-url,start-date,end-date,geojson,entry-date
,healthy-street-for-surrey,design-code-area,,,,,local-authority:SRY,,healthy-street-for-surrey,,,,,,,
,trafford-design-code,design-code-area,Trafford Area,,,,local-authority:TRF,,trafford-design-code,,,,,,,
,uttlesford-design-code,design-code-area,Uttlesford Area,,,,local-authority:ESS,,uttlesford-design-code,,,,,,,
,lye-and-stour-valley-design-code,design-code-area,,,,,local-authority:DUD,,lye-and-stour-valley-design-code,,,,,,,
,mansfield-town-centre-design-code,design-code-area,,,,,local-authority:MAS,,mansfield-town-centre-design-code,,,,,,,
,staples-corner-design-code,design-code-area,,,,,local-authority:BEN,,staples-corner-design-code,,,,,,,
,chatham-centre-design-code,design-code-area,Chatham Centre Design Code Area,,,,local-authority:MDW,,chatham-centre-design-code,,,,,,,
,chatham-centre-industrial-areas,design-code-area,Chatham Centre Industrial Areas,,,,local-authority:MDW,industrial-areas,chatham-centre-design-code,,,,,,,
,chatham-town-centres,design-code-area,Chatham Centre Town Centres,,,,local-authority:MDW,town‑city‑centre,chatham-centre-design-code,,,,,,,
,east-riding-design-code,design-code-area,East Riding Area,,,,local-authority:ERY,,east-riding-design-code,,,,,,,
,huncoat-design-code,design-code-area,,,,,local-authority:LAN,,huncoat-design-code,,,,,,,
,hemel-hempstead-paradise-design-code,design-code-area,,,,,local-authority:DAC,,hemel-hempstead-paradise-design-code,,,,,,,
,a23-great-street-design-code,design-code-area,Reigate-Banstead Area,,,,local-authority:REI,,a23-great-street-design-code,,,,,,,
,trafford-park-industrial-area,design-code-area,Trafford Park Industrial Area,,,,local-authority:TRF,industrial-areas,trafford-design-code,trafford-design-code-LNL-5;trafford-design-code-TBSM-2;trafford-design-code-APG-1;trafford-design-code-TBET-3,,,,,,
,lye-town-centre,design-code-area,Lye Town Centre,,,,local-authority:DUD,town‑city‑centre,lye-and-stour-valley-design-code,,,,,,,
,dudley-industrial-areas,design-code-area,Dudley Industrial Areas,,,,local-authority:DUD,industrial-areas,lye-and-stour-valley-design-code,,,,,,,
